PageLikes,Type,Month,Weekday,Hour,Paid,Total
139441,Photo,12,3,3,0,80
139441,Photo,12,4,3,0,100
139441,Photo,12,5,10,0,104
139441,Photo,12,5,10,0,106
139441,Photo,12,6,10,0,142
139441,Photo,12,5,3,0,152
139441,Status,12,3,10,0,164
139441,Status,12,1,9,0,186
139441,Status,12,7,3,0,192
139441,Status,12,5,10,0,252
139441,Photo,12,1,3,1,279
139441,Photo,12,7,9,1,339
139441,Photo,12,2,3,0,393
139441,Photo,12,2,10,1,1777
138895,Photo,12,3,10,0,39
138895,Photo,12,7,3,0,59
138895,Photo,12,2,3,0,75
138895,Photo,12,7,10,1,100
138895,Photo,12,1,3,0,113
138895,Photo,12,2,9,0,125
138895,Photo,12,4,2,0,162
138895,Video,12,4,11,1,174
138895,Photo,12,1,11,0,199
138895,Photo,12,3,3,0,204
138895,Link,12,6,3,1,211
138895,Status,12,6,11,0,262
138895,Status,12,7,9,0,269
138895,Photo,12,5,3,0,622
138458,Status,12,6,3,0,106
138458,Photo,12,5,3,0,117
138458,Status,12,5,11,0,494
138414,Photo,12,7,10,0,0
138414,Link,12,7,10,0,18
138414,Photo,12,1,11,0,42
138414,Photo,12,3,3,0,54
138414,Status,12,2,3,0,75
138414,Photo,12,1,3,0,81
138414,Photo,12,7,3,0,96
138414,Status,12,3,10,0,108
138414,Status,12,6,10,0,121
138414,Photo,12,4,5,1,599
138414,Photo,12,2,12,1,713
138353,Link,12,2,2,0,14
138353,Link,12,3,2,0,32
138353,Photo,12,5,10,0,36
138353,Link,12,5,3,1,46
138353,Photo,11,1,9,0,58
138353,Photo,12,4,11,0,58
138353,Link,12,4,3,1,71
138353,Photo,12,2,11,0,92
138353,Status,12,3,11,0,214
138329,Photo,11,5,3,0,53
138329,Video,11,6,2,1,81
138329,Photo,11,6,10,0,83
138329,Photo,11,7,3,0,87
138329,Photo,11,4,10,0,90
138329,Photo,11,4,3,1,160
138329,Photo,11,5,11,0,220
138329,Photo,11,7,9,0,242
138329,Photo,11,1,3,1,337
138185,Photo,11,7,11,0,55
138185,Photo,11,1,10,0,69
138185,Photo,11,6,11,0,70
138185,Photo,11,1,3,0,119
138185,Photo,11,3,11,1,123
138185,Photo,11,3,2,1,162
138185,Photo,11,2,10,1,202
138185,Photo,11,2,3,1,245
138185,Photo,11,7,3,1,787
137893,Photo,11,3,2,0,0
137893,Video,11,3,11,0,114
137893,Photo,11,6,3,0,119
