title,year,rating,running_time_secs
Rush,2013,8.3,7380
Prisoners,2013,8.2,9180
This Is the End,2013,7.2,6420
Insidious: Chapter 2,2013,7.1,6360
World War Z,2013,7.1,6960
Now You See Me,2013,7.3,6900
Gravity,2013,8.2,5400
We're the Millers,2013,7.2,6600
Riddick,2013,6.8,7140
The Family,2013,6.5,6660
Star Trek Into Darkness,2013,7.9,7920
After Earth,2013,4.9,6000
The Great Gatsby,2013,7.3,8580
We Are What We Are,2013,6.2,6300
Iron Man 3,2013,7.4,7800
Curse of Chucky,2013,5.7,5820
The Conjuring,2013,7.7,6720
Escape Plan,2013,7.6,6960
Elysium,2013,7,6540
Cloudy with a Chance of Meatballs 2,2013,6.7,5700
The Mortal Instruments: City of Bones,2013,6.6,7800
Runner Runner,2013,5.4,5460
I Spit on Your Grave 2,2013,5.5,6360
Battle of the Year,2013,3.5,6600
Behind the Candelabra,2013,7,7080
No se Aceptan Devoluciones,2013,6.9,6900
The Bling Ring,2013,5.8,5400
Furious 6,2013,7.2,7800
Machete Kills,2013,6.3,6420
12 Years a Slave,2013,7.7,7980
The World's End,2013,7.5,6540
Pitch Perfect,2012,7.1,6720
Epic,2013,6.6,6120
The Avengers,2012,8.2,8580
Metallica Through the Never,2013,7.8,5640
Oblivion,2013,7,7440
Dom Hemingway,2013,6.9,5580
The Hangover Part III,2013,5.9,6000
Despicable Me 2,2013,7.7,5880
The Butler,2013,6.6,7920
Blue Jasmine,2013,7.8,5880
White House Down,2013,6.4,7860
Pain & Gain,2013,6.5,7740
2 Guns,2013,7,6540
The Dark Knight Rises,2012,8.6,9900
The Place Beyond the Pines,2012,7.4,8400
jOBS,2013,5.6,7680
Disconnect,2012,7.5,6900
Bridesmaids,2011,6.8,7500
Man of Steel,2013,7.6,8580
Ghost Team One,2013,4.3,6420
Insidious,2010,6.7,6180
Wreck-It Ralph,2012,7.8,6480
Spring Breakers,2012,5.5,5640
Silver Linings Playbook,2012,7.9,7320
R.I.P.D.,2013,5.4,5760
The Shawshank Redemption,1994,9.3,8520
Pacific Rim,2013,7.5,7860
The Hunger Games,2012,7.2,8520
The Last Days on Mars,2013,7.4,5880
Baggage Claim,2013,4.1,5760
Percy Jackson: Sea of Monsters,2013,6.5,6360
Byzantium,2012,6.5,7080
X-Men: First Class,2011,7.8,7920
Hocus Pocus,1993,6.2,5760
The East,2013,6.9,6960
V/H/S/2,2013,6.2,5760
The Croods,2013,7.3,5880
Olympus Has Fallen,2013,6.4,7200
Hummingbird,2013,6.2,6000
About Time,2013,7.6,7380
Mud,2012,7.5,7800
Argo,2012,7.9,7200
Django Unchained,2012,8.5,9900
Grown Ups 2,2013,5.2,6060
The Dark Knight,2008,9,9120
Planes,2013,5.2,5460
Captain Phillips,2013,6.7,8040
The Hobbit: An Unexpected Journey,2012,8.1,10140
Les Miserables,2012,7.6,9480
The Kings of Summer,2013,7.1,5700
Mr. Nobody,2009,7.8,8460
The Fifth Estate,2013,6.4,7680
Titanic,1997,7.6,11640
The Incredibles,2004,8,6900
Pulp Fiction,1994,9,9240
The Call,2013,6.6,5640
Side Effects,2013,7.1,6360
The Iceman,2012,6.9,6300
The Wizard of Oz,1939,8.2,6060
Big Sur,2013,6.3,6000
The Breakfast Club,1985,7.9,5820
Inception,2010,8.8,8880
Hitchcock,2012,6.9,5880
The Wolverine,2013,7.1,7560
The Purge,2013,5.5,5100
Safe Haven,2013,6.4,6900
The Perks of Being a Wallflower,2012,8,6120
Star Trek,2009,8,7620
One Direction: This Is Us,2013,3.1,5520
Cloud Atlas,2012,7.6,10320
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,7800
Empire State,2013,5,5640
The Frozen Ground,2013,6.2,6300
Thor,2011,7,6900
I Spit on Your Grave,2010,6.2,6480
The Notebook,2004,7.9,7380
Looper,2012,7.5,7140
The Spectacular Now,2013,7.7,5700
The Heat,2013,6.9,7020
Inglourious Basterds,2009,8.3,9180
The Godfather,1972,9.2,10500
Filth,2013,7.2,5820
Fight Club,1999,8.8,8340
Escape from Tomorrow,2013,5.9,5400
Carrie,1976,7.4,5880
Enough Said,2013,7.5,5580
Prometheus,2012,7.1,7440
The Departed,2006,8.5,9060
Dumb & Dumber,1994,7.2,6420
Romeo and Juliet,2013,5,7080
Cloudy with a Chance of Meatballs,2009,7,5400
Kill Your Darlings,2013,7.1,6240
Only God Forgives,2013,6,5400
Evil Dead,2013,6.5,5460
Stuck in Love,2012,7,5820
You're Next,2011,6.9,5640
"Crazy, Stupid, Love.",2011,7.4,7080
300,2006,7.7,7020
Conan the Barbarian,2011,5.1,6780
Zero Dark Thirty,2012,7.4,9420
The Awakening,2011,6.4,6420
The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,6900
Iron Man,2008,7.9,7560
Oz the Great and Powerful,2013,6.5,7800
Despicable Me,2010,7.6,5700
Movie 43,2013,4.4,5640
Warm Bodies,2013,6.9,5880
Flight,2012,7.3,8280
G.I. Joe: Retaliation,2013,5.8,6600
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,10680
Red 2,2013,7,6960
Dredd,2012,7,5700
The Smurfs 2,2013,4.9,6300
Harry Potter and the Sorcerer's Stone,2001,7.3,9120
21 Jump Street,2012,7.1,6540
The Shining,1980,8.5,8760
The Cabin in the Woods,2012,7.1,5700
Turbo,2013,6.3,5760
The Lone Ranger,2013,6.6,8940
Moneyball,2011,7.6,7980
Donnie Darko,2001,8.1,6780
Drive,2011,7.9,6000
The Internship,2013,6.3,7140
Skyfall,2012,7.8,8580
Mean Girls,2004,6.8,5820
The Prestige,2006,8.4,7800
Intouchables,2011,8.5,6720
Nebraska,2013,7.5,6900
Zero Charisma,2013,6.2,5160
Back to the Future,1985,8.5,6960
Adore,2013,6.1,6000
Requiem for a Dream,2000,8.4,6120
Monsters University,2013,7.6,6240
Parkland,2013,5.6,5580
She's Out of My League,2010,6.4,6240
American Beauty,1999,8.5,7320
Magic Mike,2012,6.1,6600
The Hangover,2009,7.8,6000
Lawless,2012,7.2,6960
Pirates of the Caribbean: On Stranger Tides,2011,6.6,8220
Trance,2013,6.9,6060
One Chance,2013,5.2,6180
The Colony,2013,5.2,5700
Love Actually,2003,7.7,8100
Ted,2012,7.1,6360
Twilight,2008,5.2,7320
Star Wars,1977,8.7,7260
In Time,2011,6.6,6540
Batman Begins,2005,8.3,8400
42,2013,7.5,7680
The Host,2013,5.7,7500
Into the Wild,2007,8.1,8880
Pitch Black,2000,7,6540
Hansel & Gretel: Witch Hunters,2013,6.1,5280
The Amazing Spider-Man,2012,7.1,8160
Sin City,2005,8.2,7440
The Way Way Back,2013,7.8,6180
The Silence of the Lambs,1991,8.7,7080
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8,8580
Generation Iron,2013,6.7,6360
The Help,2011,8,8760
Schindler's List,1993,8.9,11700
No Strings Attached,2011,6.1,6480
Stoker,2013,6.9,5940
Goodfellas,1990,8.8,8760
Warrior,2011,8.2,8400
Couples Retreat,2009,5.4,6780
Captain America: The First Avenger,2011,6.8,7440
Paranoia,2013,4.8,6360
Jagten,2012,8.2,6900
The Big Lebowski,1998,8.2,7020
Remember the Titans,2000,7.6,6780
The Princess Bride,1987,8.1,5880
Blade Runner,1982,8.3,7020
Austenland,2013,5.8,5820
Jurassic Park,1993,8,7620
C.O.G.,2013,4.8,5280
Se7en,1995,8.7,7620
The Town,2010,7.6,7500
Gangster Squad,2013,6.7,6780
Rock of Ages,2012,5.8,7380
Zoolander,2001,6.4,5340
Finding Nemo,2003,8.1,6000
(500) Days of Summer,2009,7.8,5700
"Il buono, il brutto, il cattivo.",1966,9,9660
Life of Pi,2012,8.1,7620
The Big Wedding,2013,5.3,5340
The Matrix,1999,8.7,8160
Iron Man 2,2010,7,7440
Forrest Gump,1994,8.7,8520
Parker,2013,6.1,7080
The Chronicles of Riddick,2004,6.5,7140
The Lion King,1994,8.4,5340
Jack Reacher,2012,6.9,7800
The Girl with the Dragon Tattoo,2011,7.8,9480
Avatar,2009,7.9,9720
End of Watch,2012,7.6,6540
Snow White and the Huntsman,2012,6.1,7620
Mama,2013,6.3,6000
This Is 40,2012,6.2,8040
Superbad,2007,7.6,6780
Much Ado About Nothing,2012,7.4,6540
Black Swan,2010,8.1,6480
Drive Angry,2011,5.5,6240
Ratatouille,2007,8,6660
Grown Ups,2010,5.8,6120
Gladiator,2000,8.5,9300
Hotel Transylvania,2012,7,5460
The Lovely Bones,2009,6.6,8100
Horrible Bosses,2011,6.9,5880
The Expendables 2,2012,6.7,6180
G.I. Joe: The Rise of Cobra,2009,5.7,7080
The Little Mermaid,1989,7.5,4980
Before Midnight,2013,8.3,6540
The Lords of Salem,2012,5.2,6060
Watchmen,2009,7.6,9720
Saving Private Ryan,1998,8.6,10140
X-Men: The Last Stand,2006,6.8,6240
Lincoln,2012,7.5,9000
Pee-wee's Big Adventure,1985,6.8,5400
Something Borrowed,2011,5.7,6720
Cidade de Deus,2002,8.7,7800
Savages,2012,6.5,7860
Sleepy Hollow,1999,7.4,6300
Sixteen Candles,1984,7.1,5580
There Will Be Blood,2007,8.1,9480
Rise of the Guardians,2012,7.2,5820
Sinister,2012,6.7,6600
The Goonies,1985,7.6,6840
Beautiful Creatures,2013,6,7440
Oldeuboi,2003,8.4,7200
Eternal Sunshine of the Spotless Mind,2004,8.4,6480
Good Will Hunting,1997,8.2,7560
Alice in Wonderland,2010,6.5,6480
Troy,2004,7.1,9780
Shooter,2007,7.1,7440
Percy Jackson & the Olympians: The Lightning Thief,2010,5.8,7080
Dark Shadows,2012,6.2,6780
Scott Pilgrim vs. the World,2010,7.5,6720
Sucker Punch,2011,6,6600
One Flew Over the Cuckoo's Nest,1975,8.8,7980
Scary MoVie,2013,3.4,5160
American History X,1998,8.6,7140
The Usual Suspects,1995,8.7,6360
E.T. the Extra-Terrestrial,1982,7.9,6900
The Lord of the Rings: The Return of the King,2003,8.9,12060
Scarface,1983,8.2,10200
A Clockwork Orange,1971,8.4,8160
V for Vendetta,2005,8.2,7920
Drinking Buddies,2013,6.1,5400
Pineapple Express,2008,6.9,6660
Memento,2000,8.6,6780
Europa Report,2013,6.5,5400
How I Live Now,2013,6.8,6060
Cloverfield,2008,7.1,5100
Easy A,2010,7.1,5520
The Punisher,2004,6.3,7440
Lo imposible,2012,7.5,6840
Leon,1994,8.6,6600
Dead Poets Society,1989,7.9,7680
Tangled,2010,7.8,6000
The Social Network,2010,7.8,7200
Paul,2011,7,6240
American Psycho,2000,7.5,6120
Love & Other Drugs,2010,6.6,6720
The Emperor's New Groove,2000,7.2,4680
Jack the Giant Slayer,2013,6.3,6840
Star Trek: The Wrath of Khan,1982,7.7,6780
Heat,1995,8.3,10200
10 Things I Hate About You,1999,7,5820
Star Wars: Episode III - Revenge of the Sith,2005,7.7,8400
No Country for Old Men,2007,8.2,7320
Grease,1978,7.1,6600
Limitless,2011,7.3,6300
Zombieland,2009,7.7,5280
Shutter Island,2010,8,8280
Lilo & Stitch,2002,7,5100
Blue Caprice,2013,6,5580
50/50,2011,7.8,6000
Anchorman: The Legend of Ron Burgundy,2004,7.1,5640
How to Train Your Dragon,2010,8.1,5880
Killing Season,2013,5.3,5460
Moonrise Kingdom,2012,7.8,5640
Identity Thief,2013,5.6,6660
Harry Potter and the Goblet of Fire,2005,7.5,9420
RoboCop,1987,7.5,6120
Inside Man,2006,7.6,7740
The Outsiders,1983,7,5460
Burlesque,2010,6.1,7140
John Carter,2012,6.6,7920
All Is Lost,2013,7.1,6360
12 Angry Men,1957,8.9,5760
V/H/S,2012,5.7,6960
X-Men Origins: Wolverine,2009,6.7,6420
Snatch.,2000,8.3,6240
Independence Day,1996,6.8,8700
1,2013,5.6,5700
Romeo + Juliet,1996,6.8,7200
The Rocky Horror Picture Show,1975,7.2,6000
Getaway,2013,4.1,5400
Hooligans,2005,7.4,6540
Total Recall,2012,6.2,7080
28 Weeks Later,2007,7,6000
Reservoir Dogs,1992,8.4,5940
Dazed and Confused,1993,7.6,6120
Spider-Man,2002,7.3,7260
The Covenant,2006,4.9,5820
Battleship,2012,5.8,7860
Ocean's Eleven,2001,7.7,6960
Sen to Chihiro no kamikakushi,2001,8.6,7500
The Inbetweeners Movie,2011,6.7,5820
The Fast and the Furious,2001,6.4,6360
Ruby Sparks,2012,7.1,6240
Top Gun,1986,6.7,6600
Terminator 2: Judgment Day,1991,8.5,8220
Man on Fire,2004,7.7,8760
Brokeback Mountain,2005,7.6,8040
Stand by Me,1986,8.1,5340
Midnight in Paris,2011,7.7,6000
The Vow,2012,6.7,6240
Snitch,2013,6.5,6720
Broken City,2013,6.1,6540
Fast Five,2011,7.2,7800
Alien,1979,8.5,7020
Abduction,2011,4.8,6360
The Blind Side,2009,7.6,7740
21 & Over,2013,5.6,5580
Pride & Prejudice,2005,7.7,7740
Transformers,2007,7.1,8640
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.8,8580
Dark Skies,2013,6.2,5820
That's My Boy,2012,5.5,6960
Seven Psychopaths,2012,7.2,6600
I Am Number Four,2011,6,6540
Teenage Mutant Ninja Turtles,1990,6.4,5580
Million Dollar Baby,2004,8.1,7920
Apocalypse Now,1979,8.6,9180
Men in Black 3,2012,6.9,6360
Trainspotting,1996,8.2,5640
Fast & Furious,2009,6.5,6420
Knocked Up,2007,7.1,7740
The Company You Keep,2012,6.3,7260
War of the Worlds,2005,6.5,6960
A Beautiful Mind,2001,8.1,8100
King Arthur,2004,6.2,7560
Red Dawn,2012,5.3,5580
Red,2010,7,6660
The Godfather: Part II,1974,9,12000
Melancholia,2011,7.1,7800
Transformers: Dark of the Moon,2011,6.3,9240
Immortals,2011,6,6600
Zodiac,2007,7.7,9420
The Incredible Burt Wonderstone,2013,5.9,6000
Taken,2008,7.8,5580
Dallas Buyers Club,2013,7.5,7020
All Is Bright,2013,5.3,6420
The Master,2012,7.1,8640
One Day,2011,6.8,6420
Phata Poster Nikhla Hero,2013,5.6,8760
Enchanted,2007,7.2,6420
Star Wars: Episode I - The Phantom Menace,1999,6.5,8160
Never Let Me Go,2010,7.1,6180
X-Men,2000,7.4,6240
Toy Story 3,2010,8.4,6180
The Descendants,2011,7.4,6900
Unknown,2011,6.8,6780
The Ring,2002,7.1,6900
The Road,2009,7.2,6660
Project X,2012,6.5,5280
Real Steel,2011,7,7620
Enemy,2013,6.7,5400
East of Eden,1955,8,6900
Big Fish,2003,8,7500
Just Go with It,2011,6.3,7020
Yi dai zong shi,2013,6.6,7800
Mission: Impossible - Ghost Protocol,2011,7.3,7980
The Exorcist,1973,8,7320
Brave,2012,7.2,5580
Hot Fuzz,2007,7.8,7260
The Lord of the Rings: The Two Towers,2002,8.7,10740
Shaun of the Dead,2004,8,5940
Kill Bill: Vol. 1,2003,8.1,6660
The Sixth Sense,1999,8.2,6420
LOL,2012,3.8,5820
"Monsters, Inc.",2001,8,5520
The Bourne Legacy,2012,6.7,8100
TRON: Legacy,2010,6.8,7620
Juno,2007,7.6,5760
La migliore offerta,2013,7.7,7860
Fright Night,2011,6.4,6360
Machete,2010,6.7,6300
Lost in Translation,2003,7.8,6060
August: Osage County,2013,6.6,7800
The Incredible Hulk,2008,6.9,6720
To the Wonder,2012,6.1,6720
Mulan,1998,7.3,5280
District 9,2009,8,6720
The Man with the Iron Fists,2012,5.4,5700
El laberinto del fauno,2006,8.3,7080
Here Comes the Boom,2012,6.4,6300
Taken 2,2012,6.2,5520
The First Time,2012,6.8,5700
A Good Day to Die Hard,2013,5.3,5880
Crash,2004,7.9,6720
The Other Guys,2010,6.6,6420
Rio,2011,6.9,5760
Gran Torino,2008,8.2,6960
Animal House,1978,7.5,6540
Ferris Bueller's Day Off,1986,7.8,6180
Parental Guidance,2012,5.8,6300
The Fast and the Furious: Tokyo Drift,2006,5.7,6240
Hall Pass,2011,5.8,6300
Harry Potter and the Deathly Hallows: Part 1,2010,7.6,8760
The Last House on the Left,2009,6.5,6600
We Need to Talk About Kevin,2011,7.5,6720
Ice Age: Continental Drift,2012,6.6,5280
He's Just Not That Into You,2009,6.3,7740
Fear and Loathing in Las Vegas,1998,7.6,7080
The Hangover Part II,2011,6.4,6120
The Great Escape,1963,8.3,10320
Colombiana,2011,6.2,6480
House at the End of the Street,2012,5.4,6060
Children of Men,2006,7.9,6540
My Big Fat Greek Wedding,2002,6.5,5700
The Little Rascals,1994,5.9,4920
Step Up Revolution,2012,6.2,5940
Tinker Tailor Soldier Spy,2011,7.1,7620
The Lucky One,2012,6.2,6060
The Three Musketeers,2011,5.7,6600
The Last Song,2010,5.2,6420
Aliens,1986,8.5,8220
Source Code,2011,7.4,5580
Stardust,2007,7.7,7620
Dumb and Dumberer: When Harry Met Lloyd,2003,3.3,5100
The Expendables,2010,6.4,6180
Super 8,2011,7.1,6720
Hercules,1997,7,5580
Home Alone,1990,7.3,6180
The Last Stand,2013,6.4,6420
The Boondock Saints,1999,7.8,6480
Up,2009,8.3,5760
Quantum of Solace,2008,6.7,6360
We Bought a Zoo,2011,7.1,7440
A Single Shot,2013,5.9,6960
Killer Joe,2011,6.7,6120
Sherlock Holmes: A Game of Shadows,2011,7.4,7740
The Fighter,2010,7.9,6960
Sherlock Holmes,2009,7.5,7680
The Possession,2012,5.8,5520
Killing Them Softly,2012,6.3,5820
Hugo,2011,7.6,7560
Charlie and the Chocolate Factory,2005,6.7,6900
The Adventures of Sharkboy and Lavagirl 3-D,2005,3.4,5580
A.C.O.D.,2013,5.7,5400
Serenity,2005,7.9,7140
Full Metal Jacket,1987,8.4,6960
Gangs of New York,2002,7.5,10020
Dawn of the Dead,2004,7.4,6060
A Knight's Tale,2001,6.7,7920
The Warriors,1979,7.6,5520
Cars,2006,7.2,7020
The Bourne Ultimatum,2007,8.1,6900
Up in the Air,2009,7.5,6540
Pirates of the Caribbean: Dead Man's Chest,2006,7.2,9060
What to Expect When You're Expecting,2012,5.5,6600
American Reunion,2012,6.7,6780
Contagion,2011,6.7,6360
Blackfish,2013,7.8,4980
Blue Valentine,2010,7.4,6720
In a World...,2013,7.3,5580
Con Air,1997,6.7,6900
Harold & Kumar Go to White Castle,2004,7.1,5280
Almost Famous,2000,7.9,7320
This Means War,2012,6.2,5820
A Single Man,2009,7.5,5940
Lolita,1997,6.7,8220
The Pianist,2002,8.5,9000
Inside Llewyn Davis,2013,7,6300
Incendies,2010,8.1,8340
Pirates of the Caribbean: At World's End,2007,7,10140
Toy Story,1995,8.3,4860
Who Framed Roger Rabbit,1988,7.6,6240
The Book of Eli,2010,6.8,7080
Our Idiot Brother,2011,6.4,5400
Man on a Ledge,2012,6.5,6120
Safety Not Guaranteed,2012,7.1,5160
On the Road,2012,6,7440
The Machinist,2004,7.7,6060
Spider-Man 3,2007,6.2,8340
Ocean's Twelve,2004,6.2,7500
Black Hawk Down,2001,7.7,8640
Resident Evil: Retribution,2012,5.2,5760
P.S. I Love You,2007,6.9,7560
Jaws,1975,8.2,7440
Casino Royale,2006,7.9,8640
The Nightmare Before Christmas,1993,8,4560
Premium Rush,2012,6.5,5460
The Island,2005,6.8,8160
Clueless,1995,6.6,5820
28 Days Later...,2002,7.6,6780
Tropic Thunder,2008,7,6420
Little Miss Sunshine,2006,7.9,6060
The Day After Tomorrow,2004,6.3,7440
Labor Day,2013,6.8,6660
Atonement,2007,7.7,7380
Gambit,2012,5.6,5340
Peeples,2013,4.2,5700
Harry Potter and the Prisoner of Azkaban,2004,7.7,8520
Bolt,2008,7,5760
Saw,2004,7.6,6180
The Pursuit of Happyness,2006,7.8,7020
The Lunchbox,2013,7.9,6240
Aladdin,1992,7.9,5400
Closed Circuit,2013,5.8,5760
The Great Gatsby,1974,6.2,8640
The Fountain,2006,7.2,5760
Sleepers,1996,7.4,8820
50 First Dates,2004,6.7,5940
Prince of Persia: The Sands of Time,2010,6.5,6960
Upside Down,2012,6.3,6000
Bullet to the Head,2012,5.7,5520
Star Wars: Episode V - The Empire Strikes Back,1980,8.8,7440
Wedding Crashers,2005,7,7140
Beetle Juice,1988,7.4,5520
Starship Troopers,1997,7.1,7740
City Slickers,1991,6.7,6780
Matilda,1996,6.6,5880
Batman,1989,7.5,7560
Clash of the Titans,2010,5.8,6360
Harry Potter and the Order of the Phoenix,2007,7.3,8280
Let Me In,2010,7.2,6960
Footloose,2011,5.5,6780
Catch Me If You Can,2002,7.9,8460
Chronicle,2012,7,5040
Rocky,1976,8,7140
A Bronx Tale,1993,7.6,7260
I Am Legend,2007,7.1,6060
Step Brothers,2008,6.7,5880
The Hunchback of Notre Dame,1996,6.7,5460
The Watch,2012,5.6,6120
White Chicks,2004,5,6540
I Give It a Year,2013,5.7,5820
Office Space,1999,7.8,5340
Legends of the Fall,1994,7.3,7980
Old School,2003,7,5460
The Terminator,1984,8.1,6420
Harry Potter and the Chamber of Secrets,2002,7.2,9660
Casablanca,1942,8.7,6120
The Curious Case of Benjamin Button,2008,7.8,9960
What's Eating Gilbert Grape,1993,7.7,7080
Hairspray,2007,6.8,7020
Raiders of the Lost Ark,1981,8.6,6900
Batman & Robin,1997,3.6,7500
Admission,2013,5.6,6420
The Butterfly Effect,2004,7.6,6780
Stand Up Guys,2012,6.5,5700
The Ides of March,2011,7.2,6060
The Campaign,2012,6.1,5100
Hanna,2011,6.8,6660
127 Hours,2010,7.7,5640
The Evil Dead,1981,7.5,5100
Scooby-Doo,2002,4.7,5340
The Devil Wears Prada,2006,6.7,6540
2001: A Space Odyssey,1968,8.3,9600
The King's Speech,2010,8.1,7080
The Proposal,2009,6.6,6480
Mystic River,2003,8,8280
The Hurt Locker,2008,7.6,7860
Green Lantern,2011,5.7,6840
The Spiderwick Chronicles,2008,6.6,5760
The Last Airbender,2010,4.4,6180
Ghost Busters,1984,7.8,6300
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.5,6960
The Ugly Truth,2009,6.3,5760
Sunshine on Leith,2013,7.3,6000
Valentine's Day,2010,5.6,7500
Public Enemies,2009,7,8400
Fantastic Mr. Fox,2009,7.7,5220
Citizen Kane,1941,8.5,7140
The Phantom of the Opera,2004,7.1,8580
Beauty and the Beast,1991,8,5040
Moon,2009,7.9,5820
Stargate,1994,6.9,7260
Predator,1987,7.8,6420
Kung Fu Panda,2008,7.6,5400
Emperor,2012,6.3,6300
"Lock, Stock and Two Smoking Barrels",1998,8.2,6420
Jeune & jolie,2013,7.1,5700
Napoleon Dynamite,2004,6.8,4920
A Walk to Remember,2002,7.2,6060
The Sorcerer's Apprentice,2010,6.1,6540
The School of Rock,2003,7,6480
Fargo,1996,8.2,5880
The Paperboy,2012,5.7,6420
Van Helsing,2004,5.8,7860
Hannibal,2001,6.6,7860
The Mummy,1999,6.9,7500
A Nightmare on Elm Street,1984,7.4,5460
The Count of Monte Cristo,2002,7.6,7860
The Truman Show,1998,8,6180
Mission: Impossible III,2006,6.8,7560
EuroTrip,2004,6.5,5580
The Passion of the Christ,2004,7,7620
The Italian Job,2003,6.9,6660
The Dictator,2012,6.4,4980
Contraband,2012,6.4,6540
Pearl Harbor,2001,5.8,10980
Der Untergang,2004,8.3,9360
Winter's Bone,2010,7.2,6000
Insomnia,2002,7.1,7080
The Lost World: Jurassic Park,1997,6.3,7740
Snowpiercer,2013,7.7,7560
Truth or Dare,2012,5.5,5760
Moulin Rouge!,2001,7.6,7620
Trouble with the Curve,2012,6.7,6660
Child's Play,1988,6.4,5220
Slumdog Millionaire,2008,8,7200
